URL,Type,Status,Priority,Resolution,Affects Version/s,Fix Version/s,Component/s,Estimated Complexity,Assignee,Reporter,Created,Updated,Description,Comments
https://issues.apache.org/jira/browse/CAMEL-21753,Bug,Open,Major,Unresolved,4.10.0,"4.11.0,4.10.3",camel-jbang,Unknown,Thomas Diesler,Thomas Diesler,17/Feb/25 14:29,6 hours ago,camel.oauth.baseUri=https: //keycloak.local:30443/realms/camel camel.oauth.redirectUri=http: //127.0.0.1:8080/auth camel.oauth.logout.redirectUri=http: //127.0.0.1:8080/ camel.oauth.clientId=camel-client camel.main.basePackageScan=examples.platformhttpoauth camel.oauth.baseUri=https: //keycloak.local:30443/realms/camel camel.oauth.redirectUri=http: //127.0.0.1:8080/auth camel.oauth.logout.redirectUri=http: //127.0.0.1:8080/ camel.oauth.clientId=camel-client camel.server.enabled= true camel.oauth.baseUri=https: //keycloak.local:30443/realms/camel camel.oauth.redirectUri=http: //127.0.0.1:8080/auth camel.oauth.logout.redirectUri=http: //127.0.0.1:8080/ camel.oauth.clientId=camel-client camel.server.health-check-enabled= true camel.oauth.baseUri=https: //keycloak.local:30443/realms/camel camel.oauth.redirectUri=http: //127.0.0.1:8080/auth camel.oauth.logout.redirectUri=http: //127.0.0.1:8080/ camel.oauth.clientId=camel-client,
https://issues.apache.org/jira/browse/CAMEL-21827,Task,In Progress,Major,Unresolved,None,4.11.0,documentation,Unknown,Pasquale Congiusti,Claus Ibsen,3 days ago 09:26,10 hours ago,MDC logging is not good with a async routing engine in Camel and is a legacy logging feature. We should add some docs about using this feature can have some issue and that eventually it will be deprecated.,Claus Ibsen: Claus Ibsen added a comment - 3 days ago cc squakez | Pasquale Congiusti: Pasquale Congiusti added a comment - 11 hours ago https://github.com/apache/camel/pull/17389
https://issues.apache.org/jira/browse/CAMEL-21843,Improvement,Open,Major,Unresolved,None,4.11.0,camel-kamelet,Unknown,Andrea Cosentino,Claus Ibsen,Yesterday 11:50,11 hours ago,,Claus Ibsen: Claus Ibsen added a comment - Yesterday kafka jackson mongodb langchain4j jackson-avro djl
https://issues.apache.org/jira/browse/CAMEL-21841,Bug,In Progress,Major,Unresolved,4.10.1,None,camel-jbang,Unknown,Claudio Miranda,Claudio Miranda,Yesterday 10:52,11 hours ago,"the kubernetes plugin fails to fetch the container image when using the knative-service trait in minikube camel kubernetes run --verbose HttpLog.java --kamelets-version=4.9.0 --trait knative-service.enabled= true --trait container.image-pull-policy=IfNotPresent The minikube registry addon was exposed in the shell console with eval $(minikube docker-env) The container image is correctly published in the registry $ docker images|grep localhost localhost:5000/http-log 1.0-SNAPSHOT 6545efede2e4 18 hours ago 463MB The route public class HttpLog extends RouteBuilder { @Override public void configure() throws Exception { from( ""platform-http:/hello?httpMethodRestrict=GET"" ) .setBody(simple( ""Hello ${header.name}"" )) .log( ""${header.name}"" ); } } The deployed knative-service manifest contains the Image Pull Policy: IfNotPresent The pod and knative revision fails with: Revision ""kn-http-log-00001"" failed with message: Unable to fetch image ""localhost:5000/kn-http-log:1.0-SNAPSHOT"" : failed to resolve image to digest: Get ""https: //localhost:5000/v2/"" : dial tcp 127.0.0.1:5000: connect: connection refused; Get ""http://localhost:5000/v2/"" : dial tcp 127.0.0.1:5000: connect: connection refused.",
https://issues.apache.org/jira/browse/CAMEL-21842,Bug,In Progress,Major,Unresolved,None,None,camel-jbang,Unknown,Claudio Miranda,Claudio Miranda,Yesterday 11:31,11 hours ago,"Due to the new observability-services dependency is set the camel-jbang exports, the kubernetes plugin should fix the http get path to the ""/observe"" prefix, otherwise the container pod will fail with: Container non-http-log failed startup probe, will be restarted Startup probe failed: HTTP probe failed with statuscode: 404",
https://issues.apache.org/jira/browse/CAMEL-21816,Bug,Open,Major,Unresolved,4.10.0,None,"camel-ai,(1)camel-langchain4j-tools",Unknown,Otavio Rodolfo Piske,Bruno Meseguer,1 week ago 09:34,Yesterday 10:05,"When a Camel route uses the LangChain4J-tools component, it calls the LLM, providing metadata about the tools (tool routes) available the LLM can use. The LLM computes the request and decides if a tool call is necessary or not. If the LLM performs a tool call, Camel executes the tool and returns the result to the LLM. However, the current implementation does not provide the Tools metadata (tools available) when returning the tool result. The consequence of Camel not including Tools metadata when returning the tool response is that the LLM understands there are no more Tools available, and concludes that subsequent tool calls are not allowed, forcing the LLM to compose a final response. The expected behaviour from Camel is to always provide a full history of tool calls and results, including the metadata of available tools the LLM can use at all times. Let's assume Camel asks the LLM the following question: ""what is the weather in London?"" Camel calls the LLM and provides metadata listing the tools available to the LLM. In this example, it would provide: Tool to find the geo-coordinates for a given city Tool to obtain weather information for a given longitude and latitude The LLM needs to first obtain from Camel the geo-coordinates for London, and in a subsequent call, invoke the second tool to obtain the weather passing the geo-coordinates obtained in the first call. When Camel returns the result of the geo-coordinates tool call, the current implementation is missing to provide tools metadata. The sample below shows all the data Camel needs to provide to allow the LLM to call a second time: Request: - method: POST - url: http: //localhost:11434/api/chat - headers: [Accept: application/json], [Content-Type: application/json], [User-Agent: Apache Camel], [content-length: 2257] - body: { ""model"" : ""qwen2.5:7b-instruct"" , ""messages"" : [ { ""role"" : ""system"" , ""content"" : "" You are a meteorologist, and you need to answer questions asked by the user about weather using at most 3 lines.\n\n The weather information is a JSON object and has the following fields:\n\n maxTemperature is the maximum temperature of the day in Celsius degrees\n minTemperature is the minimum temperature of the day in Celsius degrees\n precipitation is the amount of water in mm\n windSpeed is the speed of wind in kilometers per hour\n weather is the overall weather.\n"" }, { ""role"" : ""user"" , ""content"" : ""What is the weather in london ?"" }, { ""role"" : ""assistant"" , ""tool_calls"" : [ { ""function"" : { ""name"" : ""findCity"" , ""arguments"" : { ""name"" : ""london"" } } } ] }, { ""role"" : ""tool"" , ""content"" : ""{\n \"" results\ "" : [ {\n \"" latitude\ "" : 51.50853,\n \"" longitude\ "" : -0.12574\n } ]\n}"" } ], ""tools"" : [ { ""type"" : ""function"" , ""function"" : { ""name"" : ""forecast"" , ""description"" : ""Forecasts the weather for the given latitude and longitude"" , ""parameters"" : { ""type"" : ""object"" , ""properties"" : { ""latitude"" : { ""type"" : ""number"" }, ""longitude"" : { ""type"" : ""number"" } }, ""required"" : [ ""latitude"" , ""longitude"" ] } } }, { ""type"" : ""function"" , ""function"" : { ""name"" : ""findCity"" , ""description"" : ""Finds the latitude and longitude of a given city"" , ""parameters"" : { ""type"" : ""object"" , ""properties"" : { ""name"" : { ""type"" : ""string"" } }, ""required"" : [ ""name"" ] } } } ], ""options"" : { ""temperature"" : 0.0, ""top_k"" : 40, ""top_p"" : 0.9 }, ""stream"" : false } Note in the JSON data above that Camel provides both the result of the tool call (provides latitude and longitude for the city of London), and also provides (again) the list of available tools the LLM can use at all times if it decides to call again.",Otavio Rodolfo Piske: Otavio Rodolfo Piske added a comment - Yesterday Root cause: missing loop between lines 102 and 108 on the LangChain4jToolsProducer. It needs to re-evaluate the tools until it gets a not tools execution request response.
https://issues.apache.org/jira/browse/CAMEL-21839,Bug,Open,Major,Unresolved,None,None,camel-langchain4j-tools,Unknown,Otavio Rodolfo Piske,Otavio Rodolfo Piske,Yesterday 09:38,Yesterday 09:44,Ref: https://camel.zulipchat.com/#narrow/channel/257302-camel-quarkus/topic/LangChain4j.20Tools.20.3A.20There.20are.20no.20tools.20to.20be.20executed/near/503646001,
https://issues.apache.org/jira/browse/CAMEL-20367,Test,Open,Major,Unresolved,None,4.x,camel-jbang,Unknown,Marco Carletti,Claus Ibsen,24/Jan/24 18:50,3 days ago 11:19,"After first set of tests for 4.4, then we should add more tests for 4.x onwards.",
https://issues.apache.org/jira/browse/CAMEL-21801,New Feature,Open,Major,Unresolved,None,4.x,None,Unknown,Unassigned,Claus Ibsen,26/Feb/25 08:06,4 days ago 19:12,https://docs.spring.io/spring-cloud-config/docs/current/reference/html/ So you can use their config server to lookup username / password / urls to various configuration and use them as {{spring-config:xxx}} placeholders in Camel routes.,Claus Ibsen: Claus Ibsen added a comment - 4 days ago acosentino you are welcome to look at this with all your work on vaults
https://issues.apache.org/jira/browse/CAMEL-21825,Improvement,Open,Major,Unresolved,None,None,camel-ai,Unknown,Unassigned,Otavio Rodolfo Piske,4 days ago 16:58,4 days ago 16:58,LangChain4j comes with a MCP client that we can leverage on Camel to implement a MCP component. This would allow Camel to integrate with all sorts of new MCP servers that are appearing lately.,
